perspectiva, temperatura, humedad, viento, jugar
soleado, caliente, alto, falso, no
soleado, caliente, alto, cierto, no
nublado, caliente, alto, falso, sí
lluvioso, templado, alto, falso, si
lluvioso, fresco, normal, falso, si
lluvioso, fresco, normal, cierto, no
nublado, fresco, normal, cierto, sí
soleado, suave, alto, falso, no
soleado, fresco, normal, falso, sí
lluvioso, templado, normal, falso, si
soleado, suave, normal, cierto, sí
nublado, suave, alto, cierto, sí
nublado, caliente, normal, falso, sí
lluvioso, templado, alto, cierto, no
